company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
Mobile Premier League (MPL),Series A,5000000.0,"Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,2018.0,Undisclosed,2018.0,Media & Entertainment,Bangalore,,,
Skymet,,1000000.0,,Provide services that allow clients to understand and organize themselves around changing environment.,2021.0,,2003.0,Environmental Services,Noida,Yogesh Patil,"Northern Arc, Caspian Impact Investments",
Generico,Series A,566999.3634413877,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Mumbai,,,
My3DSelfie,Series A,3600000.0,,World's first to create 3d figurine from photos,2021.0,,2016.0,Arts & Crafts,Guwahati,Harsha P Deka,"NEVF, AccelNest",
DrinkPrime,,1000000.0,,India's Smartest Water Purifiers and are redefining water purifier ownership.,2021.0,,2016.0,Consumer Goods,Bangalore,Anil Kejriwal,"UC Inclusive Credit, Western Capital",
Moneyboxx,Debt,3000000.0,,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,2021.0,,1994.0,FinTech,Mumbai,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",
infra.market,Series D,125000000.0,,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2021.0,,2016.0,Construction,Thane,"Souvik Sengupta, Aaditya Sharda",Tiger Global,
MYSUN,,2000000.0,,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",2021.0,,2016.0,Solar,New Delhi,Gagan Vermani,TATA Cleantech Capital,
Digit Insurance,,200000000.0,,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",2021.0,,2016.0,Insuretech,Bangalore,Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",
Chara,Seed funding,850000.0,,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2021.0,,2019.0,Deep Tech,Bangalore,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,
Anveshan,Seed funding,500000.0,,Revolutionizing the food industry through technology by providing high-quality traceable food products,2021.0,,2019.0,Food Production,Bangalore,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",
The Viral Fever,,2000000.0,,India's leading digital entertainment network.,2021.0,,2012.0,Entertainment,Mumbai,Arunabh Kumar,BlackSoil,
LifeCell,,30000000.0,,A building block of the team that preserves the building blocks of life,2021.0,,2004.0,Biotechnology,Chennai,S. Abhaya Kumar,Orbimed Asia Partners,
Avanti Finance,Series A,15000000.0,,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,2021.0,,2017.0,Financial Services,Bangalore,"Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",
Chqbook,,1000000.0,,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",2021.0,,2017.0,FinTech,New Delhi,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",
Bijnis,Series B,30000000.0,,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,2021.0,,2015.0,B2B startup,New Delhi,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,
Sports Flashes Pvt. Ltd,Seed funding,1000000.0,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018.0,Undisclosed,2018.0,Sports,New Delhi,,,
Puresh Daily,Seed funding,100000.0,,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2021.0,,2019.0,Milk startup,Ranchi,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",
WheelsEMI,Series B,14000000.0,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018.0,Undisclosed,2018.0,Financial Services,Pune,,,
Ultraviolette,Series C,150000000.0,,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,2021.0,,2021.0,Automotive,Bangalore,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",
Phable,Series A,12000000.0,,Mobile App for Patients and Doctors,2021.0,,2017.0,HealthTech,Bangalore,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts",
Ultrahuman,,17500000.0,,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,2021.0,,2020.0,Healthcare,Bangalore,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,
Phool.co,,3500000.0,,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,2021.0,,2017.0,Renewables & Environment,Kanpur,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",
Kohbee,Pre-Seed funding,235000.0,,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",2021.0,,2019.0,E-learning,Bangalore,"Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",
MetroRide,,3500000.0,,"Urban Mobility Affordable, Punctual & Sustainable.",2021.0,,2020.0,Transportation,Bangalore,"Girish Nagpal, Kaaman Agarwal",,
Ati Motors,Series A,35000000.0,,Autonomous industrial vehicle maker,2021.0,,2017.0,Automotive,Bangalore,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",
Origo,Series A,11679974.537655506,"Gurgaon, Haryana, India","Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",2018.0,Undisclosed,2018.0,Business Services,Gurgaon,,,
NoBroker.com,Series E,2100000.0,,NoBroker is a disruptive force in the Real Estate Industry.,2021.0,,2014.0,Real Estate,Bangalore,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures",
VTION,Seed funding,280319.3889037322,"Gurgaon, Haryana, India",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018.0,Undisclosed,2018.0,IT & Technology,Gurgaon,,,
Prolgae,Seed funding,200000.0,,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,2021.0,,2016.0,Biotechnology,The Nilgiris,Aakas Sadasivam,Vijayan,
Battery Smart,Series A,7000000.0,,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,2021.0,,2019.0,Renewables & Environment,New Delhi,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",
moEVing,Seed funding,1000000.0,,"Delivering clean, cost-effective and efficient mobility solutions.",2021.0,,2021.0,Logistics,Gurugram,VIKASH MISHRA,,
Fyle,Seed funding,1100000.0,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,2018.0,Undisclosed,2018.0,Business Services,Bangalore,,,
Progcap,Series C,30000000.0,,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",2021.0,,2016.0,FinTech,New Delhi,"Pallavi Shrivastava, Himanshu Chandra",Tiger Global,
IGL,,500000.0,,Indian Gaming League is the premier eSports platform in India.,2021.0,,2016.0,Gaming,Mumbai,Yash Pariani,"Hungama, Hindustan Talkies",
Glamplus,Series A,200000.0,,India's #1 SaaS based Salon experience Software,2021.0,,2020.0,SaaS startup,Bangalore,Divyanshu Singh,Inflection Point Ventures,
Cora Health,Seed funding,600000.0,,Social commerce marketplace for everyday health and wellness.,2021.0,,2020.0,"Health, Wellness & Fitness",Bangalore,"Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,
Kidovators (by GyanLab),Seed funding,180000.0,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Unbox Robotics,Series A,7000000.0,,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,2021.0,,2019.0,Logistics & Supply Chain,Pune,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",
Aye Finance,Series A,1051197.7083889956,"Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,2018.0,Undisclosed,2018.0,Financial Services,Gurgaon,,,
SUN Mobility,,50000000.0,,Provider of universal energy infrastructure and services to accelerate mass EV usage!,2021.0,,2017.0,Automotive,Bangalore,Chetan Maini,Vitol,
